,Name,Album,Artist,Link
0,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
1,Feel,Escapology,Robbie Williams,https://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo
2,Happier,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
3,drivers license,drivers license,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
4,Enemy (with JID),Enemy (with JID),Imagine Dragons,https://open.spotify.com/track/3f5XNTlGSQiYicfXlrFHuW
5,Numb,Meteora,Linkin Park,https://open.spotify.com/track/6XRQx6PVdUv6eIz3LxuRO2
6,Blinding Lights,After Hours,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,Light Switch,After Hours,Charlie Puth,https://open.spotify.com/track/1BSMpOtl9V67TR2SrjlFmj
8,Shape of You,Divide,Ed Sheeran,https://open.spotify.com/track/32ioC6bN1jIYNXqaYvZJyZ
9,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/3CIqvkx5ee6RhtZw7JZIiC
10,Waves,Astronaut In The Ocean,Justin Bieber,https://open.spotify.com/track/7L69VNBXIbVEfFdvAiWcQc
11,Ransom,Ransom,Lil Tecca,https://open.spotify.com/track/1lOe7N6iwHvKtG4lvbYcLX
12,Giant,The Gates of Hell,A$AP Rocky,https://open.spotify.com/track/462A5NScNkTLbS0D7qRbgK
