ID,Name,Album,Artist,Link
0,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
1,Dynamite,Dynamite (DayTime Version),BTS,https://open.spotify.com/track/0t1kP63rue9mPqUta1W7aF
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,Perfect,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,Kala Chashma,Baar Baar Dekho,Amar Arshi,https://open.spotify.com/track/62IAQRWBe8XPVo35sQNMz4
6,Kar Gayi Chull,Kapoor & Sons,Badshah,https://open.spotify.com/track/3BhjbaGeI7E0CiIjctfdD3
7,Shape of You,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
8,As It Was,Harry's House,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
9,Blinding Lights,After Hours,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Stay,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
11,Senorita,Shawn Mendes & Camila Cabello,Shawn Mendes,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
12,Heat Waves,Dreamland,Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
13,Peaches,Justice,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,Taki Taki,Taki Taki,DJ Snake ft. Selena Gomez,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
15,On My Way,On My Way,Alan Walker,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,Despacito,VIDA,Luis Fonsi,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb
17,Lover,Lover,Taylor Swift,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
18,Attention,Attention,Charlie Puth,https://open.spotify.com/track/3AO4pcTxEVBJVpPBsFwe3A
19,We Don't Talk Anymore,Nine Track Mind,Charlie Puth,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9
20,Pasoori,Coke Studio Season 14,Ali Sethi & Shae Gill,https://open.spotify.com/track/3YfS47QO7BifZbXYlJt3iO
21,Kesariya,Brahmāstra,Arijit Singh,https://open.spotify.com/track/3zQKpI8bF8fFJzW6rU7m0h
22,Apna Bana Le,Bhediya,Arijit Singh,https://open.spotify.com/track/0VZ9s5A2uc4nv1OyB8XUd8
23,Raanjhana,Raanjhanaa,A R Rahman,https://open.spotify.com/track/3L0d9lhLf1g2MFoJ4yYmLg
24,Raataan Lambiyan,Shershaah,Jubin Nautiyal & Asees Kaur,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
25,Tum Se Hi,Jab We Met,Mohit Chauhan,https://open.spotify.com/track/3kW4z2pR5w8mEX4tb5g0hQ
26,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva & Tulsi Kumar,https://open.spotify.com/track/1w5n4l1X41fvkFPd8k4YQ0
27,Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam,https://open.spotify.com/track/0Vw77fRYUp0q7lNujlJ9tw
28,Galliyan,Ek Villain,Ankit Tiwari,https://open.spotify.com/track/5FCcH1b7sRQhgb4zrp5p9W
29,Jeene Laga Hoon,Ramaiya Vastavaiya,Atif Aslam & Shreya Ghoshal,https://open.spotify.com/track/3PBfC0w0lXhNjKz1kF1Yt3
