ID,Name,Album,Artist,Link
0,Heathens,Heathens,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
1,Attention,Voicenotes,Charlie Puth,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
3,Believer,Evolve,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
5,Faded,Different World,Alan Walker,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal
7,Fight Song,Wildfire,Rachel Platten,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/4vrmAUkQZ3y5h4wr4E9mqO
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
12,Thunder,Evolve,Imagine Dragons,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
14,Let Me Love You,Encore,DJ Snake,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
15,Mama,Blue,Jonas Blue,https://open.spotify.com/track/6Ynd4WM7u4GOHZh9A9Z3qx
16,Alone,Different World,Alan Walker,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
17,That's What I Like,24K Magic,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18,In the Name of Love,In the Name of Love,Martin Garrix,https://open.spotify.com/track/0lHAMNU8RGiIObScrsRgmP
19,Wolves,Wolves,Selena Gomez,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
20,Mercy,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
21,How Long,Voicenotes,Charlie Puth,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
22,Paris,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/track/6tO5nxbgLJ5MWEfXPUHJuM
23,Feels (feat. Pharrell Williams, Katy Perry & Big Sean),Funk Wav Bounces Vol.1,Calvin Harris,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
