ID,Name,Album,Artist,Link
0,good 4 u,SOUR,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,Yonaguni,Yonaguni,Bad Bunny,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,Beggin',Chosen,Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
6,deja vu,SOUR,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/track/2XjFMQ6qFspQvdhfQeGc0G
11,traitor,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,Qué Más Pues?,Qué Más Pues?,J Balvin,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,happier,SOUR,Olivia Rodrigo,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,drivers license,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
16,Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
17,Leave The Door Open,Leave The Door Open,Bruno Mars,https://open.spotify.com/track/1lHWpbkLQykkH0OSYQ7AtE
18,favorite crime,SOUR,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
19,RAPSTAR,Hall of Fame,Polo G,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
20,Pareja Del Año,Pareja Del Año,Sebastian Yatra,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
21,Build a Bitch,Build a Bitch,Bella Poarch,https://open.spotify.com/track/3Xjfm0mO4tUdnT2m0xlD7K
22,Blinding Lights,After Hours,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
24,ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
25,brutal,SOUR,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
26,"jealousy, jealousy",SOUR,Olivia Rodrigo,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
27,AM,AM,Nio Garcia,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
28,Dynamite,BE,BTS,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
30,Dinero,Dinero,Trinidad Cardona,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
31,Watermelon Sugar,Fine Line,Harry Styles,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
32,Fiel - Remix,Fiel (Remix),Wisin,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
33,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
